bf800000:	dummy;	3.4.0	1.8.4	0	1	0	0
3a085000:	dummy;	0.000374	8	-6	81
3c13bc00:	time lag;	0.00052	0.00037
3a7d8000:	dummy;	0.001339	8	-8	82
3c14e600:	time lag;	0.00097	0.00134
3a7f9000:	dummy;	0.002296	8	-10	83
3c15c000:	time lag;	0.00097	0.00230
3a803000:	dummy;	0.003253	8	-12	84
3c168500:	time lag;	0.00098	0.00325
3a809800:	dummy;	0.004209	8	-12	84
3c174200:	time lag;	0.00098	0.00421
3ab61000:	dummy;	0.005168	8	-12	84
3c182400:	time lag;	0.00139	0.00517
3ab6b800:	dummy;	0.006126	8	-12	84
3c18e500:	time lag;	0.00139	0.00613
3ad1b800:	dummy;	0.007078	8	-12	84
3c199a00:	time lag;	0.00160	0.00708
3ad2e800:	dummy;	0.008031	8	-12	84
3c1a5200:	time lag;	0.00161	0.00803
3b2ec800:	dummy;	0.008976001	8	-12	84
3c1b0200:	time lag;	0.00267	0.00898
3b720800:	dummy;	0.009934999	8	-12	84
3c1bb700:	time lag;	0.00369	0.00993
3b9dd800:	dummy;	0.010893	8	-12	84
3c1c8d00:	time lag;	0.00482	0.01089
3bd34200:	dummy;	0.011849	8	-12	84
3c90da00:	time lag;	0.00645	0.01185
3be6e200:	dummy;	0.012806	7	-9	85
3c915a00:	time lag;	0.00705	0.01281
3c04e000:	dummy;	0.013763	6	-6	86
3c91c080:	time lag;	0.00811	0.01376
3c183100:	dummy;	0.014703	5	-3	87
3c922980:	time lag;	0.00929	0.01470
3c2b3b00:	dummy;	0.015658	4	0	88
3c929680:	time lag;	0.01045	0.01566
3c3d8c00:	dummy;	0.016613	4	0	88
3c92f280:	time lag;	0.01157	0.01661
3c3db200:	dummy;	0.017568	4	0	88
3c935780:	time lag;	0.01158	0.01757
3c500300:	dummy;	0.018524	4	0	88
3c93a700:	time lag;	0.01270	0.01852
3c60fc00:	dummy;	0.019477	4	0	88
3c93f700:	time lag;	0.01373	0.01948
3c74e000:	dummy;	0.020431	4	0	88
3cd94d00:	time lag;	0.01495	0.02043
3c833600:	dummy;	0.021387	4	0	88
3cd9b400:	time lag;	0.01602	0.02139
3c8ced80:	dummy;	0.022343	4	0	88
3cda1680:	time lag;	0.01720	0.02234
3c967f00:	dummy;	0.023297	4	0	88
3cda6a80:	time lag;	0.01837	0.02330
3ca05380:	dummy;	0.024252	4	0	88
3cdabc00:	time lag;	0.01957	0.02425
3ca06a80:	dummy;	0.025207	4	0	88
3cdb0980:	time lag;	0.01958	0.02521
3ca07300:	dummy;	0.026164	4	0	88
3cdb5980:	time lag;	0.01959	0.02616
3ca82800:	dummy;	0.027115	4	0	88
3cdbbc00:	time lag;	0.02053	0.02712
3cb15b80:	dummy;	0.028056	5	-1	86
3cdc1200:	time lag;	0.02165	0.02806
3cba8c80:	dummy;	0.029008	6	-2	84
3cdc5f80:	time lag;	0.02277	0.02901
3cc41100:	dummy;	0.029952	7	-3	82
3d100300:	time lag;	0.02393	0.02995
3ccd9000:	dummy;	0.030907	8	-4	80
3d104a40:	time lag;	0.02509	0.03091
3cd73200:	dummy;	0.031864	8	-4	80
3d108600:	time lag;	0.02627	0.03186
3ce0dc80:	dummy;	0.03282	8	-4	80
3d10b540:	time lag;	0.02745	0.03282
3ce9b380:	dummy;	0.03377	8	-4	80
3d10e140:	time lag;	0.02853	0.03377
3ce9c880:	dummy;	0.034713	8	-4	80
3d110d40:	time lag;	0.02854	0.03471
3cf2fb80:	dummy;	0.035669	8	-4	80
3d113940:	time lag;	0.02966	0.03567
3cfc4380:	dummy;	0.036625	8	-4	80
3d116440:	time lag;	0.03079	0.03662
3d04a640:	dummy;	0.03758	8	-4	80
3d333440:	time lag;	0.03239	0.03758
3d075800:	dummy;	0.038534	8	-4	80
3d3368c0:	time lag;	0.03304	0.03853
3d0b8d00:	dummy;	0.039491	8	-4	80
3d3396c0:	time lag;	0.03407	0.03949
3d103d80:	dummy;	0.040446	8	-4	80
3d33c400:	time lag;	0.03521	0.04045
3d14eb00:	dummy;	0.041403	8	-4	80
3d33edc0:	time lag;	0.03636	0.04140
3d19a540:	dummy;	0.04236	8	-4	80
3d3418c0:	time lag;	0.03751	0.04236
3d19b1c0:	dummy;	0.043316	8	-4	80
3d3441c0:	time lag;	0.03752	0.04332
3d1dbdc0:	dummy;	0.044272	8	-5	81
3d347400:	time lag;	0.03851	0.04427
3d225fc0:	dummy;	0.045227	8	-6	82
3d349ac0:	time lag;	0.03964	0.04523
3d27d680:	dummy;	0.046184	8	-7	83
3d58b940:	time lag;	0.04098	0.04618
3d27e540:	dummy;	0.047141	8	-8	84
3d58f1c0:	time lag;	0.04099	0.04714
3d2b9f40:	dummy;	0.048094	8	-8	84
3d592300:	time lag;	0.04190	0.04809
3d306a40:	dummy;	0.049032	8	-8	84
3d5959c0:	time lag;	0.04307	0.04903
3d352100:	dummy;	0.049971	8	-8	84
3d5987c0:	time lag;	0.04422	0.04997
3d39d4c0:	dummy;	0.050928	8	-8	84
3d59b4c0:	time lag;	0.04537	0.05093
3d3e60c0:	dummy;	0.051884	8	-8	84
3d59dec0:	time lag;	0.04648	0.05188
3d429c00:	dummy;	0.052839	8	-8	84
3d5a08c0:	time lag;	0.04751	0.05284
3d42a780:	dummy;	0.053795	8	-8	84
3d5a32c0:	time lag;	0.04752	0.05380
3d46cec0:	dummy;	0.054748	8	-8	84
3d5a5cc0:	time lag;	0.04854	0.05475
3d4d9840:	dummy;	0.055692	8	-8	84
3d7cd340:	time lag;	0.05019	0.05569
3d500f80:	dummy;	0.056647	8	-8	84
3d7d0f00:	time lag;	0.05080	0.05665
3d545540:	dummy;	0.057603	8	-8	84
3d7d4280:	time lag;	0.05184	0.05760
3d5897c0:	dummy;	0.058558	8	-8	84
3d7d71c0:	time lag;	0.05288	0.05856
3d5d1e40:	dummy;	0.059515	8	-8	85
3d7da200:	time lag;	0.05398	0.05951
3d6189c0:	dummy;	0.060471	8	-8	86
3d7dd240:	time lag;	0.05506	0.06047
3d6655c0:	dummy;	0.061427	8	-8	87
3d7dfe40:	time lag;	0.05623	0.06143
3d6b0980:	dummy;	0.062383	8	-8	88
3d7e2b40:	time lag;	0.05738	0.06238
3d716e40:	dummy;	0.06334	8	-8	88
3d90e5e0:	time lag;	0.05894	0.06334
3d718340:	dummy;	0.064294	8	-8	88
3d9102c0:	time lag;	0.05896	0.06429
3d741280:	dummy;	0.065251	8	-8	88
3d911ae0:	time lag;	0.05959	0.06525
3d788fc0:	dummy;	0.066207	8	-8	88
3d9131e0:	time lag;	0.06068	0.06621
3d78a6c0:	dummy;	0.067165	8	-8	88
3d914880:	time lag;	0.06071	0.06717
3d7cf700:	dummy;	0.068117	8	-8	88
3d915e00:	time lag;	0.06176	0.06812
3d80cb60:	dummy;	0.069057	8	-8	88
3d9172e0:	time lag;	0.06289	0.06906
3d833300:	dummy;	0.070005	8	-8	88
3d918860:	time lag;	0.06406	0.07000
3d859320:	dummy;	0.07095	8	-8	88
3d91a220:	time lag;	0.06522	0.07095
3d87ec00:	dummy;	0.071904	8	-8	88
3d91b820:	time lag;	0.06637	0.07190
3d8b5560:	dummy;	0.072861	8	-8	88
3da3b460:	time lag;	0.06803	0.07286
3d8b5c40:	dummy;	0.073816	8	-8	88
3da3db40:	time lag;	0.06805	0.07382
3d8c96c0:	dummy;	0.074768	8	-8	88
3da40100:	time lag;	0.06865	0.07477
3d8ee8e0:	dummy;	0.075712	7	-7	87
3da41bc0:	time lag;	0.06978	0.07571
3d90f400:	dummy;	0.076668	6	-6	86
3da43460:	time lag;	0.07078	0.07667
3d935f40:	dummy;	0.077624	5	-5	85
3da44d80:	time lag;	0.07196	0.07762
3d95b0c0:	dummy;	0.07858	4	-4	84
3da46520:	time lag;	0.07309	0.07858
3d9818c0:	dummy;	0.079535	4	-4	84
3da47d40:	time lag;	0.07427	0.07953
3d9a77e0:	dummy;	0.08049	4	-4	84
3da49440:	time lag;	0.07542	0.08049
3d9cdee0:	dummy;	0.081446	4	-4	84
3da4ab60:	time lag;	0.07660	0.08145
3d9cf1c0:	dummy;	0.082402	4	-4	84
3da4c380:	time lag;	0.07663	0.08240
3d9f0780:	dummy;	0.083359	4	-4	84
3db5c4a0:	time lag;	0.07765	0.08336
3da15ba0:	dummy;	0.08431601	4	-4	84
3db5e200:	time lag;	0.07879	0.08432
3da371e0:	dummy;	0.085273	4	-4	84
3db5fb20:	time lag;	0.07981	0.08527
3da5d420:	dummy;	0.086229	4	-4	84
3db612c0:	time lag;	0.08097	0.08623
3da834e0:	dummy;	0.087186	4	-4	84
3db62960:	time lag;	0.08213	0.08719
3da83aa0:	dummy;	0.088143	4	-4	84
3db63fe0:	time lag;	0.08214	0.08814
3daa9d60:	dummy;	0.0891	4	-4	84
3db65560:	time lag;	0.08331	0.08910
3dad2460:	dummy;	0.09004099	4	-4	84
3db66b60:	time lag;	0.08454	0.09004
3dad2d40:	dummy;	0.090981	7	-3	84
3db681e0:	time lag;	0.08456	0.09098
3db01fc0:	dummy;	0.091938	10	-2	84
3dc7bbc0:	time lag;	0.08600	0.09194
3db14dc0:	dummy;	0.092895	13	-1	84
3dc7f4e0:	time lag;	0.08657	0.09290
3db36580:	dummy;	0.093851	16	0	84
3dc813c0:	time lag;	0.08760	0.09385
3db5c420:	dummy;	0.094806	16	0	84
3dc82d80:	time lag;	0.08875	0.09481
3db82020:	dummy;	0.095758	16	0	84
3dc845a0:	time lag;	0.08991	0.09576
3dba8400:	dummy;	0.096702	16	0	84
3dc85d40:	time lag;	0.09107	0.09670
3dbce080:	dummy;	0.097658	16	0	84
3dc874c0:	time lag;	0.09223	0.09766
3dbf4440:	dummy;	0.098613	16	0	84
3dc88be0:	time lag;	0.09339	0.09861
3dc22a20:	dummy;	0.099569	16	0	84
3dda5b00:	time lag;	0.09481	0.09957
3dc23100:	dummy;	0.100526	16	0	84
3dda8b40:	time lag;	0.09482	0.10053
3dc3c640:	dummy;	0.101481	16	0	84
3ddaa500:	time lag;	0.09559	0.10148
3dc62cc0:	dummy;	0.102437	16	0	84
3ddabb80:	time lag;	0.09677	0.10244
